group,bg_reading,bead_size,bead_number,scf_bead,raw_bead,mean_control,calibrated_count
1.0,0.20691667,1.0,1_1,0.9765717062151664,67.49,0.611921,65.90882445246157
1.0,0.20691667,1.0,1_2,0.9768119779634032,56.99,0.611921,55.66851462413435
1.0,0.20691667,1.0,1_3,0.9789797558986748,54.9,0.611921,53.74598859883724
1.0,0.20691667,1.0,1_4,0.9281705880128084,53.84,0.611921,49.972704458609606
1.0,0.20691667,1.0,1_5,0.916387550328012,55.39,0.611921,50.75870641266859
2.0,0.20691667,1.0,1_6,0.9621353451298924,51.44,0.611921,49.49224215348166
2.0,0.20691667,1.0,1_7,0.986520761,55.05,0.611921,54.30796789305
2.0,0.20691667,1.0,1_10,0.9984291304783234,51.2,0.611921,51.11957148049016
2.0,0.20691667,1.0,2_1,0.9533559931435694,53.33,0.611921,50.842475114346556
3.0,0.20691667,1.0,2_3,1.0364849150212492,54.2,0.611921,56.17748239415171
3.0,0.20691667,1.0,2_4,0.9531271206913612,53.17,0.611921,50.677769007159675
3.0,0.20691667,1.0,2_5,0.9823710456305484,51.87,0.611921,50.955586136856546
3.0,0.20691667,1.0,2_6,0.9969248856549058,55.97,0.611921,55.797885850105075
3.0,0.20691667,1.0,2_7,0.9628353435217044,54.07,0.611921,52.06050702421856
4.0,0.20691667,1.0,3_2,0.9936811873666426,52.11,0.611921,51.780726673675744
4.0,0.20691667,1.0,3_3,1.019975487857704,51.56,0.611921,52.58993615394323
4.0,0.20691667,1.0,3_4,0.9465372916396032,51.81,0.611921,49.04009707984785
4.0,0.20691667,1.0,3_5,0.9760915171500124,50.64,0.611921,49.42927442847663
4.0,0.20691667,1.0,3_6,1.072897556815689,48.74,0.611921,52.29302691919669
5.0,0.20691667,1.0,3_7,0.994178843286608,48.97,0.611921,48.68493795574519
5.0,0.20691667,1.0,3_8,0.9577255497501904,52.29,0.611921,50.079468996437456
5.0,0.20691667,1.0,3_9,1.0305659055959489,50.21,0.611921,51.74471411997259
5.0,0.20691667,1.0,3_10,0.9551909374016816,50.72,0.611921,48.44728434501329
5.0,0.20691667,1.0,4_1,1.0843255546878814,48.73,0.611921,52.839184279940454
6.0,0.20691667,1.0,4_2,1.0137250742067454,48.23,0.611921,48.891960328991324
6.0,0.20691667,1.0,4_3,0.9999379216259702,48.43,0.611921,48.426993544345734
6.0,0.20691667,1.0,4_4,0.9875022645394528,56.85,0.611921,56.13950373906789
6.0,0.20691667,1.0,4_5,1.0072951694031365,53.48,0.611921,53.870145659679736
6.0,0.20691667,1.0,4_6,0.9542725831825976,51.71,0.611921,49.34543527637212
7.0,0.20691667,1.0,4_7,0.9281705880128084,49.03,0.611921,45.508203930267996
7.0,0.20691667,1.0,4_9,1.0085746166492184,48.08,0.611921,48.49226756849442
7.0,0.20691667,1.0,4_10,1.0263034571481993,48.12,0.611921,49.385722357971346
7.0,0.20691667,1.0,5_1,0.9934325461935588,49.9,0.611921,49.57228405505858
8.0,0.21,1.0,5_2,0.9420454218094492,49.86,0.611921,46.97038473141914
8.0,0.21,1.0,5_3,0.9852966216519624,53.34,0.611921,52.55572179891568
8.0,0.21,1.0,5_4,0.9628353435217044,48.35,0.611921,46.55308885927441
8.0,0.21,1.0,5_5,0.9760915171500124,48.82,0.611921,47.652787867263605
8.0,0.21,1.0,5_6,0.9675281562800284,46.7,0.611921,45.18356489827733
9.0,0.22168333,1.0,5_7,1.0072951694031365,48.37,0.611921,48.72286734402971
9.0,0.22168333,1.0,5_8,0.9748931079416864,47.45,0.611921,46.25867797183302
9.0,0.22168333,1.0,6_1,0.9420454218094492,47.71,0.611921,44.94498707452882
9.0,0.22168333,1.0,6_2,0.923850951,49.76,0.611921,45.97082332176
9.0,0.22168333,1.0,6_3,1.0024627326025757,48.21,0.611921,48.328728338770176
10.0,0.2312,1.0,6_4,1.0176225710616986,42.86,0.611921,43.6153033957044
10.0,0.2312,1.0,6_5,1.039742213097148,46.2,0.611921,48.036090245088246
10.0,0.2312,1.0,6_6,1.0034762306396383,46.33,0.611921,46.49105376553444
10.0,0.2312,1.0,6_7,1.0078065585674707,43.48,0.611921,43.81942916651362
10.0,0.2312,1.0,6_8,0.9748931079416864,45.88,0.611921,44.72809579236457
11.0,0.21621667,1.0,6_9,0.937153350479276,43.37,0.611921,40.644340810286195
11.0,0.21621667,1.0,6_10,0.9492530339801328,46.08,0.611921,43.74157980580452
11.0,0.21621667,1.0,7_1,1.0176225710616986,43.43,0.611921,44.195348261209574
11.0,0.21621667,1.0,7_2,1.0705830620349834,42.99,0.611921,46.02436583688394
11.0,0.21621667,1.0,7_4,1.0223393105592011,44.21,0.611921,45.197620919822285
12.0,0.21183333,1.0,7_5,1.0614240869076494,44.37,0.611921,47.0953867360924
12.0,0.21183333,1.0,7_6,1.046594439478986,43.25,0.611921,45.26520950746614
12.0,0.21183333,1.0,7_7,1.0639841708738775,45.29,0.611921,48.18784309887791
12.0,0.21183333,1.0,7_8,1.0386541746717444,45.63,0.611921,47.3937899902717
12.0,0.21183333,1.0,7_9,1.0518628393548444,47.77,0.611921,50.24748783598092
13.0,0.20583333,1.0,7_10,1.0257731289739414,44.14,0.611921,45.27762591290977
13.0,0.20583333,1.0,8_1,1.0311012024042476,43.1,0.611921,44.440461823623075
13.0,0.20583333,1.0,8_2,1.0116585916469143,43.47,0.611921,43.97679897889137
13.0,0.20583333,1.0,8_3,1.0482524342151602,44.43,0.611921,46.57385565217957
13.0,0.20583333,1.0,8_4,1.008062447917731,44.11,0.611921,44.46563457765111
14.0,0.20986667,1.0,8_5,1.0902810204900508,44.53,0.611921,48.55021384242196
14.0,0.20986667,1.0,8_6,1.002209678,50.25,0.611921,50.3610363195
14.0,0.20986667,1.0,8_7,1.029764001696326,47.48,0.611921,48.89319480054156
14.0,0.20986667,1.0,8_8,0.9102943337898804,43.71,0.611921,39.78896532995567
14.0,0.20986667,1.0,8_9,1.035944015,42.44,0.611921,43.9654639966
1.0,0.20691667,1.5,1_1,0.9811347054392336,145.4,0.611921,142.65698617086457
1.0,0.20691667,1.5,1_2,0.9865154804770312,139.2,0.611921,137.32295488240274
1.0,0.20691667,1.5,1_3,1.047810871632104,133.3,0.611921,139.67318918855946
1.0,0.20691667,1.5,1_4,0.9983787287235124,138.8,0.611921,138.57496754682353
1.0,0.20691667,1.5,1_5,1.008642006844574,129.0,0.611921,130.11481888295006
2.0,0.20691667,1.5,1_6,0.9434002285458551,143.2,0.611921,135.09491272776646
2.0,0.20691667,1.5,1_7,0.9442255683213312,128.2,0.611921,121.04971785879465
2.0,0.20691667,1.5,1_8,0.9224365793442644,145.1,0.611921,133.84554766285277
2.0,0.20691667,1.5,1_9,0.9525590929925092,137.8,0.611921,131.26264301436777
2.0,0.20691667,1.5,1_10,1.0601617348813115,138.3,0.611921,146.62036793408538
3.0,0.20691667,1.5,2_1,0.9401132476262536,135.8,0.611921,127.66737902764525
3.0,0.20691667,1.5,2_2,0.9696753709195256,134.2,0.611921,130.13043477740032
3.0,0.20691667,1.5,2_3,0.9910447505367088,136.6,0.611921,135.37671292331441
3.0,0.20691667,1.5,2_4,0.9610410271600952,137.3,0.611921,131.95093302908109
3.0,0.20691667,1.5,2_5,1.0974608298585853,121.9,0.611921,133.78047515976155
4.0,0.20691667,1.5,2_6,0.9740509859109168,129.4,0.611921,126.04219757687264
4.0,0.20691667,1.5,2_7,1.0191184885497433,127.8,0.611921,130.24334283665718
4.0,0.20691667,1.5,2_8,0.9679361125742644,130.6,0.611921,126.41245630219892
4.0,0.20691667,1.5,2_9,0.9802436110675498,131.8,0.611921,129.19610793870308
4.0,0.20691667,1.5,2_10,1.077089710571784,120.0,0.611921,129.2507652686141
5.0,0.20691667,1.5,3_1,0.9328006351814708,129.7,0.611921,120.98424238303676
5.0,0.20691667,1.5,3_2,0.9352254996484828,138.8,0.611921,129.80929935120943
5.0,0.20691667,1.5,3_3,0.9740509859109168,144.6,0.611921,140.84777256271855
5.0,0.20691667,1.5,3_4,0.984715343,129.2,0.611921,127.22522231559998
5.0,0.20691667,1.5,3_5,0.9584806286547544,127.1,0.611921,121.82288790201927
6.0,0.20691667,1.5,3_6,0.9169507585948308,133.6,0.611921,122.50462134826938
6.0,0.20691667,1.5,3_7,0.97142089096928,130.6,0.611921,126.86756836058795
6.0,0.20691667,1.5,3_8,0.8538400805456768,133.8,0.611921,114.24380277701157
6.0,0.20691667,1.5,3_9,0.8276495641509213,136.1,0.611921,112.64310568094038
6.0,0.20691667,1.5,3_10,1.0278534182990309,123.1,0.611921,126.5287557926107
7.0,0.20691667,1.5,4_1,0.9584806286547544,129.8,0.611921,124.41078559938713
7.0,0.20691667,1.5,4_2,1.0114778075519486,122.2,0.611921,123.60258808284813
7.0,0.20691667,1.5,4_3,0.9731727065997342,127.9,0.611921,124.468789174106
7.0,0.20691667,1.5,4_4,0.9534005430881112,131.1,0.611921,124.99081119885138
7.0,0.20691667,1.5,4_5,0.9838177357713176,140.4,0.611921,138.128010102293
8.0,0.21,1.5,4_6,0.9802436110675498,126.3,0.611921,123.80476807783153
8.0,0.21,1.5,4_7,0.9740509859109168,126.9,0.611921,123.60707011209534
8.0,0.21,1.5,4_8,0.992868125014182,127.6,0.611921,126.68997275180962
8.0,0.21,1.5,4_9,1.0067602904605342,118.4,0.611921,119.20041839052725
8.0,0.21,1.5,4_10,0.984715343,124.1,0.611921,122.2031740663
9.0,0.22168333,1.5,5_1,1.0249251851931571,119.7,0.611921,122.68354466762091
9.0,0.22168333,1.5,5_2,0.9123002963539838,119.1,0.611921,108.65496529575947
9.0,0.22168333,1.5,5_3,0.9169507585948308,117.6,0.611921,107.8334092107521
9.0,0.22168333,1.5,5_4,0.9946982213328236,118.2,0.611921,117.57332976153975
9.0,0.22168333,1.5,5_6,1.0307984313945218,115.1,0.611921,118.64489945350945
10.0,0.2312,1.5,5_7,0.95508791097933,116.4,0.611921,111.17223283799402
10.0,0.2312,1.5,5_8,0.9775800133690244,114.8,0.611921,112.226185534764
10.0,0.2312,1.5,5_9,0.9130720948503356,123.5,0.611921,112.76440371401644
10.0,0.2312,1.5,5_10,0.9811347054392336,115.4,0.611921,113.22294500768757
10.0,0.2312,1.5,6_1,1.116303411716601,99.36,0.611921,110.91590698816148
11.0,0.21621667,1.5,6_2,1.0367393778172822,111.6,0.611921,115.7001145644087
11.0,0.21621667,1.5,6_3,0.9829217633526748,107.8,0.611921,105.95896608941834
11.0,0.21621667,1.5,6_4,1.035744469047072,106.4,0.611921,110.20321150660847
11.0,0.21621667,1.5,6_5,1.0105307705607818,115.3,0.611921,116.51419784565813
11.0,0.21621667,1.5,6_6,0.97142089096928,117.6,0.611921,114.23909677798731
12.0,0.21183333,1.5,6_7,0.9360365918174895,118.7,0.611921,111.10754344873601
12.0,0.21183333,1.5,6_8,0.9883222114846338,109.3,0.611921,108.02361771527048
12.0,0.21183333,1.5,6_9,0.9311910326147912,124.6,0.611921,116.02640266380298
12.0,0.21183333,1.5,6_10,0.9475414192127086,122.7,0.611921,116.26333213739935
12.0,0.21183333,1.5,7_1,0.9384783315662522,118.2,0.611921,110.928138791131
13.0,0.20583333,1.5,7_2,1.0152837729615625,109.7,0.611921,111.3766298938834
13.0,0.20583333,1.5,7_3,0.9919555998620154,112.4,0.611921,111.49580942449055
13.0,0.20583333,1.5,7_4,1.1682613310895698,96.86,0.611921,113.15779252933572
13.0,0.20583333,1.5,7_5,0.9946982213328236,113.6,0.611921,112.99771794340876
13.0,0.20583333,1.5,7_6,1.1209409340516676,111.8,0.611921,125.32119642697644
14.0,0.20986667,1.5,7_7,1.012426621,114.2,0.611921,115.61912011819999
14.0,0.20986667,1.5,7_8,0.9865154804770312,112.9,0.611921,111.37759774585683
14.0,0.20986667,1.5,7_9,0.9802436110675498,117.7,0.611921,115.37467302265061
14.0,0.20986667,1.5,7_10,0.9775800133690244,115.8,0.611921,113.20376554813303
14.0,0.20986667,1.5,8_1,0.9679361125742644,116.6,0.611921,112.86135072615922
