bead_size,bead_number,experiment,beam_energy,exp_variable,scf_count,scf_bead,calibrated_count,adjusted_count
1.0,254,energy_resp,0.0,0.0,41.88,0.0057075772047118,34.379292,-12.301888673469385
1.5,1,linearity,6.0,10.0,110.2,0.0017743496672716,210.59220000000002,163.91101932653063
1.5,2,linearity,6.0,10.0,109.6,0.0017840632603406,198.5952,151.91401932653062
1.5,3,linearity,6.0,10.0,103.2,0.0018947028423772,185.1408,138.45961932653063
1.5,4,linearity,6.0,10.0,108.3,0.0018054786088027,212.15970000000002,165.47851932653063
1.5,5,linearity,6.0,10.0,107.2,0.0018240049751243,246.2384,199.55721932653063
1.5,6,linearity,6.0,25.0,114.6,0.0017062245491564,402.3606,355.6794193265306
1.5,7,linearity,6.0,25.0,114.5,0.0017077147016011,441.283,394.60181932653063
1.5,8,linearity,6.0,25.0,117.2,0.0016683731513083,458.1348,411.4536193265306
1.5,9,linearity,6.0,25.0,113.5,0.0017227606461086,422.5605,375.8793193265306
1.5,10,linearity,6.0,25.0,102.0,0.0019169934640522,370.464,323.7828193265306
1.5,11,linearity,6.0,50.0,115.0,0.0017002898550724,802.01,755.3288193265306
1.5,12,linearity,6.0,50.0,111.5,0.0017536621823617,720.4015,673.7203193265307
1.5,13,linearity,6.0,50.0,109.1,0.0017922395355942,764.2455,717.5643193265306
1.5,14,linearity,6.0,50.0,112.5,0.001738074074074,833.0625,786.3813193265306
1.5,15,linearity,6.0,50.0,98.54,0.0019843041742777,631.24724,584.5660593265306
1.5,16,linearity,6.0,100.0,111.0,0.0017615615615615,1507.38,1460.6988193265306
1.5,17,linearity,6.0,100.0,106.1,0.0018429154885328,1477.973,1431.2918193265305
1.5,18,linearity,6.0,100.0,111.7,0.0017505222321695,1468.855,1422.1738193265305
1.5,19,linearity,6.0,100.0,110.3,0.0017727410093683,1384.265,1337.5838193265308
1.5,20,linearity,6.0,100.0,100.4,0.0019475431606905,1192.7520000000002,1146.070819326531
1.5,21,linearity,6.0,250.0,115.9,0.0016870865688812,3576.674,3529.9928193265305
1.5,22,linearity,6.0,250.0,115.6,0.0016914648212226,4428.636,4381.954819326531
1.5,23,linearity,6.0,250.0,111.0,0.0017615615615615,3941.6099999999997,3894.92881932653
1.5,24,linearity,6.0,250.0,109.8,0.0017808136004857,3479.562,3432.8808193265304
1.5,25,linearity,6.0,250.0,112.8,0.001733451536643,3502.44,3455.7588193265306
1.5,26,linearity,6.0,500.0,117.9,0.0016584676279332,7852.139999999999,7805.45881932653
1.5,27,linearity,6.0,500.0,111.3,0.0017568134171907,6946.232999999999,6899.55181932653
1.5,28,linearity,6.0,500.0,126.6,0.0015444971037388,8011.248,7964.56681932653
1.5,29,linearity,6.0,500.0,130.6,0.001497192445125,8367.542,8320.86081932653
1.5,30,linearity,6.0,500.0,105.2,0.0018586818757921,6575.0,6528.3188193265305
1.5,31,linearity,6.0,1000.0,112.8,0.001733451536643,14709.12,14662.438819326531
1.5,32,linearity,6.0,1000.0,106.9,0.0018291237917056,13950.45,13903.768819326531
1.5,33,linearity,6.0,1000.0,111.1,0.0017599759975997,15076.269999999999,15029.58881932653
1.5,34,linearity,6.0,1000.0,113.4,0.0017242798353909,14288.400000000001,14241.718819326532
1.5,35,linearity,6.0,1000.0,109.9,0.0017791932059447,13286.910000000002,13240.228819326532
1.5,36,linearity,6.0,2000.0,110.3,0.0017727410093683,29560.399999999998,29513.71881932653
1.5,37,linearity,6.0,2000.0,111.0,0.0017615615615615,28271.699999999997,28225.018819326528
1.5,38,linearity,6.0,2000.0,108.9,0.0017955310682583,27671.49,27624.808819326532
1.5,39,linearity,6.0,2000.0,107.4,0.001820608317815,26237.820000000003,26191.138819326534
1.5,40,linearity,6.0,2000.0,109.8,0.0017808136004857,28416.24,28369.558819326532
1.5,41,linearity,6.0,3000.0,105.5,0.0018533965244865,40332.65,40285.96881932653
1.5,42,linearity,6.0,3000.0,118.5,0.001650070323488,45575.100000000006,45528.418819326536
1.5,43,linearity,6.0,3000.0,117.9,0.0016584676279332,44071.020000000004,44024.338819326535
1.5,44,linearity,6.0,3000.0,108.7,0.0017988347132781,45556.170000000006,45509.488819326536
1.5,45,linearity,6.0,3000.0,107.7,0.0018155369854534,41259.87,41213.18881932653
1.5,46,linearity,6.0,5000.0,104.9,0.0018639974578964,62625.3,62578.61881932653
1.5,47,linearity,6.0,5000.0,113.2,0.0017273262661955,87435.68,87388.99881932653
1.5,48,linearity,6.0,5000.0,110.6,0.0017679324894514,72631.02,72584.33881932654
1.5,49,linearity,6.0,5000.0,118.4,0.0016514639639639,84016.64000000001,83969.95881932655
1.5,50,linearity,6.0,5000.0,110.2,0.0017743496672716,68996.22,68949.53881932654
1.5,51,linearity,6.0,0.0,96.88,0.0020183044315992,60.520936,13.839755326530614
1.5,52,linearity,6.0,0.0,104.3,0.0018747203579418,74.08429,27.40310932653061
1.5,53,linearity,6.0,0.0,110.0,0.0017775757575757,80.245,33.56381932653062
1.5,54,linearity,6.0,0.0,104.4,0.0018729246487867,70.54308,23.86189932653062
1.5,55,linearity,6.0,0.0,107.0,0.001827414330218,128.614,81.93281932653062
1.5,56,linearity,10.0,10.0,111.3,0.0017568134171907,232.3944,185.7132193265306
1.5,57,linearity,10.0,10.0,115.5,0.0016929292929292,231.69299999999998,185.0118193265306
1.5,58,linearity,10.0,10.0,109.4,0.00178732480195,190.7936,144.1124193265306
1.5,59,linearity,10.0,10.0,116.1,0.0016841803043353,208.74779999999998,162.0666193265306
1.5,60,linearity,10.0,10.0,114.1,0.0017137014314928,224.8911,178.2099193265306
1.5,61,linearity,10.0,25.0,115.2,0.0016973379629629,416.6784,369.9972193265306
1.5,62,linearity,10.0,25.0,106.5,0.001835993740219,362.73900000000003,316.05781932653065
1.5,63,linearity,10.0,25.0,109.0,0.0017938837920489,376.595,329.91381932653064
1.5,64,linearity,10.0,25.0,92.58,0.0021120472384244,280.79514,234.11395932653062
1.5,65,linearity,10.0,25.0,108.7,0.0017988347132781,392.73310000000004,346.05191932653065
1.5,66,linearity,10.0,50.0,96.48,0.0020266721945826,656.64288,609.9616993265306
1.5,67,linearity,10.0,50.0,106.8,0.0018308364544319,815.952,769.2708193265306
1.5,68,linearity,10.0,50.0,109.6,0.0017840632603406,744.732,698.0508193265306
1.5,69,linearity,10.0,50.0,110.3,0.0017727410093683,773.3133,726.6321193265306
1.5,70,linearity,10.0,50.0,110.6,0.0017679324894514,771.8774,725.1962193265306
1.5,71,linearity,10.0,100.0,111.7,0.0017505222321695,1448.749,1402.0678193265308
1.5,72,linearity,10.0,100.0,107.7,0.0018155369854534,1375.329,1328.6478193265307
1.5,73,linearity,10.0,100.0,110.5,0.0017695324283559,1505.01,1458.3288193265307
1.5,74,linearity,10.0,100.0,107.4,0.001820608317815,1400.496,1353.8148193265306
1.5,75,linearity,10.0,100.0,110.3,0.0017727410093683,1472.5049999999999,1425.8238193265306
1.5,76,linearity,10.0,250.0,107.0,0.001827414330218,3818.83,3772.1488193265304
1.5,77,linearity,10.0,250.0,104.9,0.0018639974578964,3421.8379999999997,3375.1568193265302
1.5,78,linearity,10.0,250.0,105.7,0.001849889624724,3350.69,3304.0088193265306
1.5,79,linearity,10.0,250.0,103.1,0.001896540575493,3319.82,3273.1388193265307
1.5,80,linearity,10.0,250.0,108.0,0.0018104938271604,3427.9199999999996,3381.23881932653
1.5,81,linearity,10.0,500.0,106.4,0.0018377192982456,6663.832,6617.150819326531
1.5,82,linearity,10.0,500.0,114.5,0.0017077147016011,7516.925000000001,7470.243819326532
1.5,83,linearity,10.0,500.0,103.7,0.0018855673416907,6526.878,6480.19681932653
1.5,84,linearity,10.0,500.0,112.8,0.001733451536643,7429.008,7382.32681932653
1.5,85,linearity,10.0,500.0,112.5,0.001738074074074,7252.875,7206.1938193265305
1.5,86,linearity,10.0,1000.0,111.9,0.0017473935061066,14088.210000000001,14041.528819326531
1.5,87,linearity,10.0,1000.0,105.5,0.0018533965244865,12744.4,12697.71881932653
1.5,88,linearity,10.0,1000.0,107.2,0.0018240049751243,13367.84,13321.15881932653
1.5,89,linearity,10.0,1000.0,116.3,0.0016812840355402,15223.67,15176.98881932653
1.5,90,linearity,10.0,1000.0,107.9,0.0018121717639789,13670.93,13624.24881932653
1.5,91,linearity,10.0,2000.0,111.5,0.0017536621823617,29904.3,29857.61881932653
1.5,92,linearity,10.0,2000.0,109.8,0.0017808136004857,28350.359999999997,28303.678819326527
1.5,93,linearity,10.0,2000.0,108.8,0.001797181372549,28016.0,27969.31881932653
1.5,94,linearity,10.0,2000.0,109.5,0.0017856925418569,31404.600000000002,31357.918819326533
1.5,95,linearity,10.0,2000.0,107.6,0.0018172242874845,28944.399999999998,28897.71881932653
1.5,96,linearity,10.0,3000.0,108.7,0.0017988347132781,40816.85,40770.16881932653
1.5,97,linearity,10.0,3000.0,110.2,0.0017743496672716,43121.26,43074.57881932653
1.5,98,linearity,10.0,3000.0,112.7,0.0017349896480331,42769.65,42722.96881932653
1.5,99,linearity,10.0,3000.0,105.7,0.001849889624724,41275.85,41229.16881932653
1.5,100,linearity,10.0,3000.0,106.2,0.001841180163214,42065.82000000001,42019.13881932654
1.5,101,linearity,10.0,5000.0,104.2,0.0018765195137555,65427.18,65380.49881932653
1.5,102,linearity,10.0,5000.0,112.3,0.0017411694864945,71782.16,71735.47881932654
1.5,103,linearity,10.0,5000.0,101.4,0.0019283366206443,63669.06,63622.37881932653
1.5,104,linearity,10.0,5000.0,105.2,0.0018586818757921,70862.72,70816.03881932654
1.5,105,linearity,10.0,5000.0,104.3,0.0018747203579418,63456.119999999995,63409.438819326526
1.5,106,linearity,10.0,0.0,104.6,0.0018693435309114,49.92558,3.244399326530612
1.5,107,linearity,10.0,0.0,124.2,0.0015743424584004,51.36912,4.687939326530618
1.5,108,linearity,10.0,0.0,105.5,0.0018533965244865,47.92865,1.247469326530613
1.5,109,linearity,10.0,0.0,103.7,0.0018855673416907,62.33407,15.652889326530612
1.5,110,linearity,10.0,0.0,105.6,0.0018516414141414,53.528639999999996,6.847459326530611
1.5,111,dose_rate,6.0,600.0,104.4,0.0018729246487867,2537.964,2491.2828193265304
1.5,112,dose_rate,6.0,600.0,105.6,0.0018516414141414,2785.7279999999996,2739.04681932653
1.5,113,dose_rate,6.0,600.0,99.24,0.0019703076716377,2388.7068,2342.0256193265304
1.5,114,dose_rate,6.0,600.0,103.4,0.0018910380399742,2454.716,2408.0348193265304
1.5,115,dose_rate,6.0,600.0,102.2,0.0019132420091324,2697.058,2650.3768193265305
1.5,116,dose_rate,6.0,500.0,108.1,0.0018088189947579,2584.671,2537.9898193265303
1.5,117,dose_rate,6.0,500.0,95.26,0.002052627895584,2087.1466,2040.4654193265305
1.5,118,dose_rate,6.0,500.0,101.1,0.0019340586877678,2395.059,2348.3778193265307
1.5,119,dose_rate,6.0,500.0,101.9,0.0019188747137716,2593.355,2546.6738193265305
1.5,120,dose_rate,6.0,500.0,96.06,0.0020355333472135,2190.168,2143.4868193265306
1.5,121,dose_rate,6.0,400.0,109.3,0.0017889600487953,2728.128,2681.4468193265307
1.5,122,dose_rate,6.0,400.0,108.8,0.001797181372549,2778.752,2732.0708193265305
1.5,123,dose_rate,6.0,400.0,109.4,0.00178732480195,2893.63,2846.9488193265306
1.5,124,dose_rate,6.0,400.0,103.2,0.0018947028423772,2491.248,2444.5668193265305
1.5,125,dose_rate,6.0,400.0,107.0,0.001827414330218,2580.84,2534.1588193265306
1.5,126,dose_rate,6.0,300.0,106.1,0.0018429154885328,2600.511,2553.8298193265305
1.5,127,dose_rate,6.0,300.0,106.0,0.0018446540880503,2681.8,2635.1188193265307
1.5,128,dose_rate,6.0,300.0,111.7,0.0017505222321695,2942.178,2895.4968193265304
1.5,129,dose_rate,6.0,300.0,106.9,0.0018291237917056,2699.2250000000004,2652.543819326531
1.5,130,dose_rate,6.0,300.0,101.8,0.0019207596594629,2465.596,2418.9148193265305
1.5,131,dose_rate,6.0,200.0,112.6,0.001736530491415,2845.4019999999996,2798.72081932653
1.5,132,dose_rate,6.0,200.0,100.1,0.0019533799533799,2418.4159999999997,2371.73481932653
1.5,133,dose_rate,6.0,200.0,101.2,0.0019321475625823,2624.116,2577.4348193265305
1.5,134,dose_rate,6.0,200.0,106.5,0.001835993740219,2667.8250000000003,2621.143819326531
1.5,135,dose_rate,6.0,200.0,89.85,0.0021762196253014,1894.9364999999998,1848.2553193265303
1.5,136,dose_rate,6.0,100.0,103.8,0.0018837508028259,2602.266,2555.5848193265306
1.5,137,dose_rate,6.0,100.0,101.6,0.0019245406824146,2459.736,2413.0548193265304
1.5,138,dose_rate,6.0,100.0,107.3,0.0018223050636843,2759.756,2713.0748193265304
1.5,139,dose_rate,6.0,100.0,107.9,0.0018121717639789,2702.8950000000004,2656.213819326531
1.5,140,dose_rate,6.0,100.0,104.2,0.0018765195137555,2602.916,2556.2348193265307
1.5,141,dose_rate,6.0,80.0,107.6,0.0018172242874845,2759.9399999999996,2713.25881932653
1.5,142,dose_rate,6.0,80.0,105.7,0.001849889624724,2638.272,2591.5908193265304
1.5,143,dose_rate,6.0,80.0,109.5,0.0017856925418569,2852.475,2805.7938193265304
1.5,144,dose_rate,6.0,80.0,101.7,0.0019226483120288,2529.279,2482.5978193265305
1.5,145,dose_rate,6.0,80.0,104.3,0.0018747203579418,2567.866,2521.1848193265305
1.5,146,dose_rate,6.0,60.0,106.9,0.0018291237917056,2738.7780000000002,2692.0968193265307
1.5,147,dose_rate,6.0,60.0,105.0,0.0018622222222222,2607.1499999999996,2560.46881932653
1.5,148,dose_rate,6.0,60.0,102.9,0.0019002267573696,2611.602,2564.9208193265304
1.5,149,dose_rate,6.0,60.0,98.52,0.0019847069968872,2402.9028,2356.2216193265303
1.5,150,dose_rate,6.0,60.0,102.4,0.0019095052083333,2419.712,2373.0308193265305
1.5,151,dose_rate,6.0,0.0,109.0,0.0021929663608562,80.8017,34.12051932653061
1.5,152,dose_rate,6.0,0.0,107.2,0.0022297885572139,69.3584,22.67721932653062
1.5,153,dose_rate,6.0,0.0,104.0,0.0022983974358974,92.1544,45.47321932653061
1.5,154,dose_rate,6.0,0.0,98.57,0.0024250109904974,93.552787,46.87160632653061
1.5,155,dose_rate,6.0,0.0,100.4,0.0023808100929614,80.09912,33.417939326530615
1.5,156,dose_rate,10.0,2400.0,103.6,0.0023072715572715,2568.2439999999997,2521.56281932653
1.5,157,dose_rate,10.0,2400.0,100.5,0.0023784411276948,2402.955,2356.2738193265304
1.5,158,dose_rate,10.0,2400.0,104.9,0.0022786781061328,2719.0080000000003,2672.3268193265308
1.5,159,dose_rate,10.0,2400.0,100.8,0.0023713624338624,2502.8639999999996,2456.18281932653
1.5,160,dose_rate,10.0,2400.0,102.6,0.0023297595841455,2503.4399999999996,2456.75881932653
1.5,161,dose_rate,10.0,2000.0,100.8,0.0023713624338624,2344.608,2297.9268193265307
1.5,162,dose_rate,10.0,2000.0,108.2,0.0022091805298829,2815.364,2768.6828193265305
1.5,163,dose_rate,10.0,2000.0,103.0,0.00232071197411,2515.26,2468.5788193265307
1.5,164,dose_rate,10.0,2000.0,99.53,0.0024016209518068,2420.5696000000003,2373.8884193265308
1.5,165,dose_rate,10.0,2000.0,103.0,0.00232071197411,2552.34,2505.6588193265306
1.5,166,dose_rate,10.0,1600.0,102.8,0.0023252269779507,2485.7039999999997,2439.02281932653
1.5,167,dose_rate,10.0,1600.0,103.0,0.00232071197411,2331.92,2285.2388193265306
1.5,168,dose_rate,10.0,1600.0,104.7,0.0022830308818847,2639.487,2592.8058193265306
1.5,169,dose_rate,10.0,1600.0,99.9,0.0023927260593927,2474.523,2427.8418193265306
1.5,170,dose_rate,10.0,1600.0,102.0,0.0023434640522875,2483.7000000000003,2437.018819326531
1.5,171,dose_rate,10.0,1200.0,101.6,0.0023526902887139,2430.272,2383.5908193265304
1.5,172,dose_rate,10.0,1200.0,106.3,0.0022486672938225,2542.696,2496.0148193265304
1.5,173,dose_rate,10.0,1200.0,102.3,0.0023365917236884,2569.776,2523.0948193265303
1.5,174,dose_rate,10.0,1200.0,100.8,0.0023713624338624,2462.544,2415.8628193265304
1.5,175,dose_rate,10.0,1200.0,98.79,0.0024196106218578,2431.2219,2384.5407193265305
1.5,176,dose_rate,10.0,800.0,95.29,0.0025084828768321,2279.3368000000005,2232.655619326531
1.5,177,dose_rate,10.0,800.0,95.94,0.0024914877353901,2275.6967999999997,2229.01561932653
1.5,178,dose_rate,10.0,800.0,100.8,0.0023713624338624,2344.608,2297.9268193265307
1.5,179,dose_rate,10.0,800.0,100.9,0.0023690122233234,2446.8250000000003,2400.143819326531
1.5,180,dose_rate,10.0,800.0,104.5,0.0022874003189792,2671.02,2624.3388193265305
1.5,181,dose_rate,10.0,400.0,103.0,0.00232071197411,2557.49,2510.8088193265303
1.5,182,dose_rate,10.0,400.0,101.3,0.0023596577821651,2552.7599999999998,2506.0788193265303
1.5,183,dose_rate,10.0,400.0,105.1,0.0022743418966064,2569.6949999999997,2523.01381932653
1.5,184,dose_rate,10.0,400.0,105.8,0.0022592942659105,2599.506,2552.8248193265304
1.5,185,dose_rate,10.0,400.0,101.7,0.0023503769255981,2414.3579999999997,2367.67681932653
1.5,186,dose_rate,10.0,0.0,107.9,0.0022153228297806,54.71609,8.034909326530617
1.5,187,dose_rate,10.0,0.0,105.0,0.0022765079365079,58.0545,11.373319326530613
1.5,188,dose_rate,10.0,0.0,105.0,0.0022765079365079,60.69,14.008819326530613
1.5,189,dose_rate,10.0,0.0,115.3,0.0020731425267418,84.67632,37.99513932653062
1.5,190,dose_rate,10.0,0.0,97.84,0.0024431043881166,74.837816,28.15663532653062
1.5,201,energy_resp,0.06,0.06,97.41,0.0024538890599869,9182.840699999999,9136.15951932653
1.5,202,energy_resp,0.06,0.06,102.7,0.0023274910743265,9305.647,9258.965819326531
1.5,203,energy_resp,0.06,0.06,103.3,0.0023139722491126,9614.131,9567.44981932653
1.5,204,energy_resp,0.06,0.06,105.7,0.0022614317250078,9243.465,9196.78381932653
1.5,205,energy_resp,0.06,0.06,102.1,0.0023411687887691,9224.734999999999,9178.05381932653
1.5,207,energy_resp,0.1,0.1,103.1,0.0023184610410604,9418.185,9371.50381932653
1.5,208,energy_resp,0.1,0.1,97.65,0.002447857996245,8821.701000000001,8775.019819326531
1.5,209,energy_resp,0.1,0.1,108.6,0.0022010435850214,9746.85,9700.16881932653
1.5,210,energy_resp,0.1,0.1,103.9,0.0023006095604748,9687.636,9640.954819326531
1.5,211,energy_resp,0.1,0.1,106.7,0.0022402374258044,9607.268,9560.58681932653
1.5,212,energy_resp,0.15,0.15,104.4,0.0022895913154533,7693.236,7646.55481932653
1.5,213,energy_resp,0.15,0.15,104.1,0.0022961895613192,7978.223999999999,7931.54281932653
1.5,215,energy_resp,0.15,0.15,103.0,0.00232071197411,7561.23,7514.54881932653
1.5,216,energy_resp,0.15,0.15,99.29,0.0024074260583476,7440.792600000001,7394.111419326531
1.5,217,energy_resp,0.15,0.15,103.5,0.0023095008051529,7771.8150000000005,7725.133819326531
1.5,218,energy_resp,0.18,0.18,97.11,0.0024614698108674,6350.994000000001,6304.312819326531
1.5,219,energy_resp,0.18,0.18,101.9,0.0023457638207392,6849.718,6803.03681932653
1.5,220,energy_resp,0.18,0.18,102.0,0.0023434640522875,6814.62,6767.93881932653
1.5,221,energy_resp,0.18,0.18,98.01,0.0024388667823011,6734.2671,6687.5859193265305
1.5,222,energy_resp,0.18,0.18,104.0,0.0022983974358974,7245.68,7198.998819326531
1.5,223,energy_resp,0.22,0.22,103.5,0.0023095008051529,4384.26,4337.578819326531
1.5,224,energy_resp,0.22,0.22,101.9,0.0023457638207392,4280.819,4234.137819326531
1.5,225,energy_resp,0.22,0.22,101.8,0.0023480681074001,4332.608,4285.926819326531
1.5,226,energy_resp,0.22,0.22,101.4,0.0023573307034845,4291.2480000000005,4244.566819326531
1.5,227,energy_resp,0.22,0.22,100.7,0.0023737173121482,4164.952,4118.270819326531
1.5,229,energy_resp,6.0,6.0,105.0,0.0022765079365079,2691.15,2644.4688193265306
1.5,230,energy_resp,6.0,6.0,103.2,0.0023162144702842,2682.168,2635.4868193265306
1.5,231,energy_resp,6.0,6.0,95.21,0.0025105906242341,2146.0334,2099.3522193265303
1.5,232,energy_resp,6.0,6.0,102.3,0.0023365917236884,2581.029,2534.3478193265305
1.5,233,energy_resp,6.0,6.0,101.9,0.0023457638207392,2374.27,2327.5888193265305
1.5,234,energy_resp,10.0,10.0,102.0,0.0023434640522875,2400.06,2353.3788193265304
1.5,235,energy_resp,10.0,10.0,96.56,0.0024754901960784,2180.3248,2133.6436193265304
1.5,236,energy_resp,10.0,10.0,104.4,0.0022895913154533,2548.404,2501.7228193265305
1.5,237,energy_resp,10.0,10.0,108.2,0.0022091805298829,2896.514,2849.8328193265306
1.5,238,energy_resp,10.0,10.0,104.1,0.0022961895613192,2483.826,2437.1448193265305
1.5,239,energy_resp,10.0,10.0,104.2,0.0022939859245041,2519.556,2472.8748193265305
1.5,240,energy_resp,10.0,10.0,101.9,0.0023457638207392,2464.9610000000002,2418.2798193265307
1.5,241,energy_resp,10.0,10.0,102.8,0.0023252269779507,2443.556,2396.8748193265305
1.5,242,energy_resp,10.0,10.0,97.4,0.0024541409993155,2397.9880000000003,2351.306819326531
1.5,243,energy_resp,10.0,10.0,97.47,0.0024523785096268,2273.0004,2226.3192193265304
1.5,244,energy_resp,0.0,0.0,103.9,0.0023006095604748,64.3141,17.63291932653061
1.5,245,energy_resp,0.0,0.0,94.77,0.0025222468432344,44.466084,-2.2150966734693824
1.5,246,energy_resp,0.0,0.0,101.4,0.0023573307034845,60.47496000000001,13.793779326530625
1.5,247,energy_resp,0.0,0.0,102.5,0.0023320325203252,59.86,13.178819326530615
1.5,248,energy_resp,0.0,0.0,99.12,0.0024115550174872,51.453192,4.772011326530617
